dataset,model_key,model_name,target_col,task_type,status,train_time_s,inference_time_ms_per_sample,peak_memory_mb,train_samples,val_samples,test_samples,n_features,error,accuracy,f1,mse,rmse,mae
bace,linear,Linear/Logistic Regression,Class,classification,success,0.9942,0.022607,9.5751,1058,152,303,591,,0.759075907590759,0.7419334358912136,,,
bace,random_forest,Random Forest,Class,classification,success,2.213,0.07364,7.1648,1058,152,303,591,,0.9702970297029703,0.9701287774276566,,,
bace,gradient_boosting,Gradient Boosting,Class,classification,success,7.0139,0.023533,7.1643,1058,152,303,591,,1.0,1.0,,,
bace,lightgbm,LightGBM,Class,classification,success,2.0004,0.029943,4.9746,1058,152,303,591,,1.0,1.0,,,
bace,mlp,MLP Neural Network,Class,classification,success,1.1605,0.039522,9.9693,1058,152,303,591,,0.6435643564356436,0.6002741812642803,,,
bace,fcnn,FCNN,Class,classification,success,0.8325,0.011788,10.2339,1058,152,303,591,,0.7491749174917491,0.7491749174917491,,,
bace,cnn1d,CNN1D,Class,classification,success,9.4608,0.370318,311.6484,1058,152,303,591,,0.7524752475247525,0.7435243695661105,,,
bace,gnn,GNN,Class,classification,success,0.6448,0.018309,10.2339,1058,152,303,591,,0.7260726072607261,0.7279205748629162,,,
bbbp,linear,Linear/Logistic Regression,p_np,classification,success,0.0422,0.005829,0.0783,1427,204,408,1,,0.7671568627450981,0.7517078580311048,,,
bbbp,random_forest,Random Forest,p_np,classification,success,2.4676,0.072877,0.2806,1427,204,408,1,,0.9436274509803921,0.94374654184798,,,
bbbp,gradient_boosting,Gradient Boosting,p_np,classification,success,0.522,0.011876,0.1979,1427,204,408,1,,0.9607843137254902,0.9600684206048123,,,
bbbp,lightgbm,LightGBM,p_np,classification,success,0.0918,0.015094,1.6581,1427,204,408,1,,0.9411764705882353,0.9401026309072185,,,
bbbp,mlp,MLP Neural Network,p_np,classification,success,0.6744,0.004446,0.8959,1427,204,408,1,,0.7892156862745098,0.6962395917271018,,,
bbbp,fcnn,FCNN,p_np,classification,success,0.6823,0.004007,1.9844,1427,204,408,1,,0.7132352941176471,0.7292383220154629,,,
bbbp,gnn,GNN,p_np,classification,success,5.1004,0.007046,0.3748,1427,204,408,1,,0.8897058823529411,0.8775877458178573,,,
chemixhub/solubility,linear,Linear/Logistic Regression,value,regression,success,0.006,0.002897,0.1239,2450,350,700,2,,,,817.5917729634984,28.59356173972558,24.74340538602275
chemixhub/solubility,gradient_boosting,Gradient Boosting,value,regression,success,0.3858,0.002749,0.1879,2450,350,700,2,,,,834.0728557250986,28.88031952255893,25.019239275103647
chemixhub/solubility,fcnn,FCNN,value,regression,success,3.6503,0.003668,2.332,2450,350,700,2,,,,836.9618559128851,28.9302930492051,25.160061372134994
chemixhub/solubility,mlp,MLP Neural Network,value,regression,success,0.8979,0.002573,0.9156,2450,350,700,2,,,,840.4477686187562,28.990477205778387,25.042295427669327
chemixhub/solubility,gnn,GNN,value,regression,success,3.7553,0.001908,0.5898,2450,350,700,2,,,,840.6042952585627,28.9931767017442,25.219426180773343
chemixhub/solubility,lightgbm,LightGBM,value,regression,success,0.0549,0.010885,1.5601,2450,350,700,2,,,,895.3216880167146,29.92192654253256,25.516298584824398
chemixhub/solubility,random_forest,Random Forest,value,regression,success,1.7193,0.041676,17.3203,2450,350,700,2,,,,935.7622699912441,30.59023161061786,25.920608831836862
esol,gradient_boosting,Gradient Boosting,measured log solubility in mols per litre,regression,success,0.2758,0.00718,0.1146,789,113,226,7,,,,0.8284759913710407,0.9102065652207968,0.6986318071582138
esol,random_forest,Random Forest,measured log solubility in mols per litre,regression,success,1.2913,0.06927,5.0156,789,113,226,7,,,,0.9103116484469743,0.95410253560452,0.7283683002704036
esol,linear,Linear/Logistic Regression,measured log solubility in mols per litre,regression,success,0.0086,0.00495,0.1582,789,113,226,7,,,,0.962024907952666,0.9808286843035668,0.7475911800023107
esol,lightgbm,LightGBM,measured log solubility in mols per litre,regression,success,0.0799,0.012864,1.5677,789,113,226,7,,,,0.9670788315605897,0.9834016633912054,0.7525274169015482
esol,mlp,MLP Neural Network,measured log solubility in mols per litre,regression,success,1.8654,0.007638,1.0116,789,113,226,7,,,,1.2428550587151181,1.114834094704283,0.8973600296226474
esol,fcnn,FCNN,measured log solubility in mols per litre,regression,success,0.6876,0.008855,0.3999,789,113,226,7,,,,1.9759940266033522,1.4057005465615187,1.1930657987003832
